Crossover probability,Mutation probability,Best Fitness,Average Fitness,Number of generations
0.40393166971224714,0.20955819150339794,789.0,705.45,1851
0.2808012781564668,0.21475848416736032,799.0,714.81,352
0.14795306830301713,0.9932067493056799,1144.0,1080.85,1288
0.05795321245151264,0.8349239795018628,933.0,875.57,3797
0.3052116895629272,0.19423267498010122,786.0,708.59,2985
0.2592070284498671,0.07482663145364332,795.0,738.62,637
0.11195183076825554,0.5858369454305983,831.0,777.26,470
0.04440894321381883,0.16228985134532592,786.0,711.92,1774
0.6389933823803543,0.7392176368059414,879.0,830.51,76
0.9006440254374393,0.12989897935038697,793.0,703.34,1790
0.36999877217657673,0.3361226225228757,807.0,722.72,1744
0.36279632998123534,0.5703822059986351,827.0,772.8,251
0.035503477949160867,0.9815310006516214,1098.0,1041.16,327
0.9474411805087798,0.825360854620993,931.0,864.38,3731
0.941256276581189,0.8854062282198123,963.0,897.13,1918
0.049174079930936254,0.4047867619405,792.0,734.5,909
0.21956940239650047,0.8473504907791762,945.0,880.69,2566
0.7952938000211838,0.2920108561015381,788.0,708.18,2406
0.7707966150184828,0.6316844626619916,855.0,791.46,2798
0.15136499995023944,0.8663418817005817,957.0,890.84,1699
0.7946528609703347,0.17711199015535295,784.0,689.47,1543
0.7930164389881699,0.503786837440339,814.0,756.71,583
0.041792759847790406,0.9182388897712083,996.0,946.69,1059
0.16534067840836564,0.6694846185046736,866.0,805.25,3922
0.8182648467386552,0.7324568228041314,880.0,826.11,648
0.5669337346754232,0.7345455099083215,890.0,826.36,1438
0.824458677489234,0.6785979117818396,872.0,807.67,3968
0.8471004944228344,0.5919069766560789,839.0,780.83,867
0.4223134431668072,0.07301239856726593,822.0,759.24,1588
0.26899017706401207,0.2655324746117761,779.0,706.57,3249
0.4875573697574521,0.12194325579294085,791.0,712.09,1412
0.14986918885574663,0.7213426643383054,855.0,821.44,3
0.5844649003448816,0.27943025457828596,791.0,705.67,1623
0.9079844948762676,0.6983021741311807,864.0,816.85,86
0.5446868718491096,0.8549298475732496,950.0,885.19,2748
0.42274137838155235,0.12284768177023542,792.0,709.08,2277
0.13811984424941426,0.686199885199597,869.0,809.17,2804
0.8235412592639597,0.9060928675692664,990.0,915.99,1289
0.7731462509536287,0.33142239016791175,790.0,715.66,2221
0.5201038831376775,0.9094212824628168,996.0,919.86,2222
0.9357725877404193,0.11233320651654088,800.0,704.53,2581
0.13311269571741924,0.6207121465709428,843.0,789.27,488
0.9244588714288096,0.5023521022170606,819.0,755.9,3818
0.6138450022576738,0.4478563541013988,802.0,742.97,3833
0.9347079534805625,0.07897323085945052,810.0,732.63,3416
0.4409866907261304,0.09569082094224923,803.0,733.8,2478
0.03405289311395787,0.14472081253401925,798.0,725.44,3833
0.1286904206233178,0.6267995410524799,847.0,787.99,3239
0.8033056118640665,0.12577838687590237,791.0,705.03,500
0.7496455989939299,0.7430989134039062,891.0,831.4,3413
0.3739491030186718,0.4659686252127915,802.0,747.07,320
0.3065379029158234,0.21691988338466095,802.0,706.92,2590
0.18817467644905872,0.7299807658531394,882.0,825.31,2210
0.6736769047040677,0.7393274031423127,887.0,829.23,1375
0.2018011863204281,0.9691205727832061,1089.0,1025.57,3051
0.5466181332247328,0.17153857392041283,796.0,700.29,1871
0.626421537524592,0.7103941168927426,876.0,818.45,3278
0.9085562489568333,0.13374277894038822,797.0,699.53,2197
0.5788384863000352,0.49874437932398297,804.0,753.41,92
0.3428070151460366,0.8114973998609567,917.0,864.01,966
0.2944788956557318,0.7414775281768408,895.0,829.75,1784
0.44741427019625124,0.13768936973024282,797.0,718.2,679
0.07891863920143882,0.1317527116385384,790.0,719.76,409
0.6081538875932592,0.42131632517894524,801.0,736.75,2670
0.05030903679092957,0.2888514383144585,786.0,716.23,1811
0.37935220917129575,0.32194730181900555,800.0,717.8,3639
0.3403182035007919,0.8284958549989099,933.0,869.86,3877
0.40877720871913636,0.17626903372474112,788.0,709.12,2149
0.22068199991739457,0.16013623419455192,791.0,713.75,1784
0.9804478722267737,0.4919543260077128,816.0,754.51,3321
